abbreviation,context,expanded_abbreviation,base_abbreviation,tokenized_input,tokenized_target
s.,"plastyczne (s. 230); godz. 11: plastyczne esy-floresy, czyli zabawy z papierem i pędzlem (<mask> 216).      MDK nr 2, godz. 10.30-14.30: film 'Doktor Dolittle', konkurs plastyczny",sala,sala,"tensor([[ 21320,  41077,    274,    263,    260,  17906,    853,  49126,    260,
          34706,  21320,  41077,    655,    276,    264,  60326,    276,    261,
            259,  27244,  54941,    276,    397,  25727,    470,    259,    266,
            259,  89036,   8915,    274,   2709,  55114,    669,    259, 221884,
            260,    352,  19777,   3574,   4802,  49126,    260, 113067,    264,
         143703,    267,   1766,    259,    277,  12671,   1914,   1272, 100451,
            277,    261,  22024,  21320,  74422,      1]])","tensor([[9566,    1]])"
f.,"etap ma na celu wyłonienie uczestników, którzy wystąpią w finale – 23.03.2018 r.  <mask> Uczestnicy przechodzący do II etapu (finału), w dniu eliminacji losują po dwie piosenki",f.,f.,"tensor([[ 51942,    496,    294,  15337,   1628,   4319,  86772,    259,  55653,
           6832,    261,    259,   1743,   2938,   1628,  41495,    761,    414,
          23397,    322,   1073,  55182,    259,    286,    260,   1042,  55114,
            669,    581, 193136,   2888,   3645,  66724,   2888,    342,   2052,
          51942,    273,    274,   7179, 125115,    506,    414,  11635,    273,
          47190,   6723,    595,  11295,    485,    259,  56360,  68557,  98538,
              1]])","tensor([[742, 260,   1]])"
Hiv.,"Przedstawicielskiej Instytucji Żydowskich we Francji (CRIF), podczas upamiętnienia obławy Vel ‘d’<mask> Prezydent Republiki Emmanuel Macron zwrócił się wówczas do sądu o wyjaśnienie sprawy.",Hiv.,Hiv.,"tensor([[   363, 205036,   3352, 144750,    336, 223938,    266,  77132,    285,
         208740,    787,  17425,    976,    274,    424, 152888,    506,   1012,
          12347,    259,    273, 105269,    270,  50834,    999,  80070,    276,
           9140,    671,    285,    293,   2709,  55114,    669,    363, 124971,
          29105,    266,    259,  64707,  54271,    272,    397,  40824,  34033,
            947,    414,   1174,  12347,    342,   3395,   1176,    259,    268,
           1628,  89918,   2909,  14601,    276,    260,      1]])","tensor([[3485,  379,  260,    1]])"
nóg.,"wypadły z pojazdu. Jeden z pasażerów zmarł na miejscu, drugi cierpi na niedowład <mask> Dwie inne osoby doznały lżejszych obrażeń.",nóg.,nóg.,"tensor([[   259,  63431,   4430,    397,    485,  14627,    273,    260,   1170,
            880,    397,    886,  17357, 112604, 114332,   2898,    294,   8401,
            273,    261,    259,  30735,    259, 144934,    266,    294,  97405,
            481, 103217,   1042,  55114,    669,    431,   8614,  10716,    259,
          26651,    342,  16840,   4430,    259,    280,   3598,    385,  13117,
          10162,   1610,   7504,    260,      1]])","tensor([[3820,  318,  260,    1]])"
day.,"Paladins, co może nam podpowiadać, że Riot szuka nowych inspiracji. It’s a bittersweet <mask> My HiRez family has been so supportive and caring for the past 2.5 years. It will",day.,day.,"tensor([[ 23979,   5447,    263,    261,    964,    259,   4123,    265,   2135,
           1012,  39012,   1209,    261,   1810,   9169,    270,    259,  45470,
            259,  64394,  17300,   6723,    260,   1385,    293,    263,    259,
            262, 105794,  91566,   1042,  55114,    669,   2368,   3485,    582,
           1468,   7190,   1070,   2101,    510,   2478,   4655,    305,   2351,
            347,    332,    287,   9002,  12467,   3127,    260,   1385,    898,
              1]])","tensor([[3117,  260,    1]])"
o.,"ciągle szukający, skazany na rozdarcie i walkę z sobą samym - mówi młody benedyktyn  <mask> Maksymilian Nawara, który w 2006 r. przejął kierownictwo Ośrodka.  20 lutego o.",ojciec,ojciec,"tensor([[   259,  17093,    468,    259,  45470, 101965,    261,   4429,  92282,
            294, 134185,  85232,    259,    266,  12747,   1241,    397,    510,
          25826,   2290,   2722,    259,    264,    259,  18365,  55853,    276,
          15950,  91905,  51590,   1042,  55114,    669,  59845,   2722, 139797,
            727,  21528,    261,    259,   1743,    276,    414,   2466,    259,
            286,    260,  62180,  86195,  58681, 155711,    443,  72140,    479,
            260,    628,   1411,   4139,    259,    268,    260,      1]])","tensor([[   259,   1171, 153848,      1]])"
j.,"Trójglicerydy, Cholesterol całkowity, Cholesterol LDL, Cholesterol HDL, PSA b)EKG c)USG <mask> brzusznej  Pakiety zostały umiejętnie skonstruowane tak, by zakres oferowanych badań",jamy,jama,"tensor([[  1830,   9972, 190652, 134752,    261,    371, 218290,    317,  91215,
           2302,    261,    371, 218290,    259, 154623,    261,    371, 218290,
           3399,    547,    261,    259,  84247,    330,    271,    478,  14365,
            317,    271, 216490,   1042,  55114,    669,  41621,    438, 172060,
          15200, 105040,    259,  14183,    276,  73697,  10108,  62900,    259,
            263, 102586,  15137,    756,    261,    455,  32188,    299,  12042,
          22236,    810,  70920,      1]])","tensor([[6318,  276,    1]])"
h.,"wakacji policjanci odebrali 4265 praw jazdy za przekroczenie prędkości o ponad 50 km/<mask> To niemal dwukrotnie więcej niż w tym samym okresie roku ubiegłego, gdy z tego powodu",godzinę,godzina,"tensor([[ 25946,   8463,  24774,   4164,    769,    682,    265, 116302,    419,
          29774,  32077,    259,  14627,    276,    466, 126318,    268,  43953,
            259,  72527,    285,  28189,    259,    268,    259,  39461,   1013,
           1006,    275,   2709,  55114,    669,    926,    716,   3130,  68447,
         126321,    634,    259,  13872,    259,  12729,    414,   4559,   2290,
           2722,    259,  18676,    634,   4351,    259,    273,  37587,  49152,
            261,    259,  11391,    397,    259,   4139,    259,  26650,    273,
              1]])","tensor([[29324,  1241,     1]])"
lag.,"zapewnią nowoczesne rozwiązania, które pozwalają m.in. na zredukowanie tzw. efektu jet <mask> Miami, czyli słońce, piaszczyste plaże i życie tętniące przez całą dobę W Miami",lag.,lag.,"tensor([[   466,  25825,    761,    259,    272,  68033,    265,   2392,  43685,
            262,    261,    259,   1743,    265,   7523,   6102,   2684,    326,
            260,    348,    260,    294,    397, 231130,   8748,    259,  98300,
            260,    259, 176944,    259,   4339,   1042,  55114,    669,  29804,
            261,    259,  27244, 101764,  27274,    265,    261,  16656,  67755,
           1082,   9423,   3598,    259,    266,    259,  43025,    259,    270,
         115544,    266,  61398,   3715,  17323,    761,    342,  28474,    564,
          29804,      1]])","tensor([[14517,   260,     1]])"
ks. inf.,"nowoczesnych działań, a zwłaszcza działań, które są obecne na forum politycznych – mówi <mask> Ireneusz Skubiś – Dzisiaj zdegradowała się nazwa polityka, ludzie mówią, że on jest",ksiądz infułat,ksiądz infułat,"tensor([[   259,    272,  68033,   3039,  12711,   9161,    261,    259,    262,
          35131,  80038,    262,  12711,   9161,    261,    259,   1743,    265,
           3395,    259,  23555,    265,    294,   7974,   7799, 109076,    322,
            259,  18365,   1042,  55114,    669,    259,  93681,  22267,  75165,
           1873,   3376,    322,  19710,  40071,    397, 210772,  58944,    947,
            294,  18170,    259,  95975,    262,    261,   1411,   5732,    259,
          18365,    761,    261,   1810,    351,   1402,      1]])","tensor([[   259,   4702, 177613,    281,   5161,   4005,    270,      1]])"
m.,"Lilianna Dziewic - CKiP w Michałowicach, instruktor Gabriela Świerczek-Kurowska III <mask> – Michał Latinek - CKPiR w Zielonkach, instruktor Anna Roj oraz Małgorzata Szybisty",miejsce,miejsce,"tensor([[ 64592,   6702, 116206,   3367,    297,    259,    264,  75287,    266,
            559,    414,   1784, 111613, 186112,    261, 192603,    259, 152125,
          30546,    295,  78407,    264,  51420,  50727,   4547,   1042,  55114,
            669,    322,   1784, 111613,  28302,    592,    259,    264,    371,
          22713,    266,    582,    414,  25153,    268, 101516,    261, 192603,
           7469,  33412,    259,   3711,  81600,  72416,   1319,  95288,    316,
          83545,      1]])","tensor([[8401,  265,    1]])"
s.,"Philosophy”, IV: „Modernity” (1), 15 sierpnia 1946 r., s. 108, 20 sierpnia 1946 r., <mask> 111.  [10] L. Strauss, Persecution and the Art of Writing, Glencoe 1952, s. 20.  [11] Tenże, Studies",strona,strona,"tensor([[   259, 120748,   1206,   7205,    267,    565, 118814,   2302,    365,
            816,    261,    670,  11715,    325,   2069,  53290,    259,    286,
            260,    261,    259,    263,    260, 128144,    628,  11715,    325,
           2069,  53290,    259,    286,    260,    261,   1042,  55114,    669,
            259,  21532,    259,  49830,    458,    260, 116490,    263,    263,
            261, 102988, 112462,    305,    287,   3009,    304,    259,  50412,
            261,    489,  75864,    265,  56425,    261,    259,    263,    260,
           3140,    259,  44977,   6175,   3598,    261,  43445,      1]])","tensor([[9693,  262,    1]])"
leń.,"przewodnictwem. To mu się na pewno nie uda. Patrząc na działania Trzaskowskiego, to wielki <mask> Pierwszy leń Rzeczpospolitej. To nie będzie człowiek, który pociągnie za sobą tłumy",leń.,leń.,"tensor([[   259, 112066,    297, 139269,    260,    926,    890,    947,    294,
            259,  43212,    268,    716,    259,   6960,    260,  61321, 208776,
            294,  12711,   2069,   1830,  13742, 198143,    261,    288,  40355,
            266,   1042,  55114,    669,  23632,  83828,    340,   9161,    531,
         210727,   9719, 149989,    385,    260,    926,    716,    330,   6324,
            259,  52210,    261,    259,   1743,    276,    485, 234008,    265,
            466,    510,  25826,    259, 210322,    276,      1]])","tensor([[ 340, 9161,  260,    1]])"
o.,"rasy polskiej holsztyńsko fryzyjskiej odmiany czarno-białej: • Czempion: Duszna, <mask> Grand ET (PL), Ośrodek Hodowli Zarodowej Lubiana • Wiceczempion: Faworyta, o. Mizzou",ojciec,ojciec,"tensor([[   259,   2339,    276,    485, 144750,  24966, 147270,   9161,   3507,
          46297,   2938,  70070, 158416,   5557,  60380,    268,    264, 234719,
           1057,    267,    792, 120269, 177798,    267,  86484,  16840,    261,
           1042,  55114,    669,   3342,  12777,    274,  12802,    506,    443,
          72140,    592,  65754,  18206,    266,   1515, 224319,    385,  18524,
          19743,    792,    564,   3681,   2268, 177798,    267,   4092,   4163,
         146327,    261,    259,    268,    260, 124327,  69387,      1]])","tensor([[   259,   1171, 153848,      1]])"
k.,"epoki żelaza, kulturę pomorską z wcz. ep. żel., kultury schyłku starożytności - <mask> przeworska z przełomu er (młodszy okres przedrzymski i okres wpływów rzymskich na",kultura,kultura,"tensor([[ 51760,    650,   1810,  92768,    261,   9996,   1241,  56744,    286,
          57271,    397,    414,   2268,    260,    259,    265,    325,    260,
            259,  42425,    260,    261,    259, 124250,  18182, 105643,    662,
         111974,   5318,  90767,    259,    264,   1042,  55114,    669, 148421,
          86082,    397, 172035,  98142,    453,    274, 194322,  20092,    259,
          18676,  10723, 155128,   2764,    259,    266,    259,  18676,    414,
          36425,   1174,    259, 155128,  32824,    294,      1]])","tensor([[67288,     1]])"
s.,n. 16  Grębałowianka - Wiślanie s. 16  Sokół - Pcimianka n. 15  Świt - Wieczysta <mask> 16  Gościbia - Zieleńczanka s. 16  Raba - Pogoń n. 16  Sokół - Grębałowianka n.,sobota,sobota,"tensor([[   259,    272,    260,    799,   6282, 103151,    262, 167945,  14145,
            259,    264,   5469, 140888,   1145,    259,    263,    260,    799,
          46735,  17311,    259,    264,    363, 201011,  14145,    259,    272,
            260,    670,  30546,    270,    259,    264,   8245,  60628,    262,
           1042,  55114,    669,    799,    489,   5727,  20651,    259,    264,
          25153,   7504,   2268,  14145,    259,    263,    260,    799,  22883,
            262,    259,    264, 142702,   9161,    259,    272,    260,    799,
          46735,  17311,    259,    264,   6282, 103151,    262, 167945,  14145,
            259,    272,    260,      1]])","tensor([[  259, 41784,   262,     1]])"
s.,n. 16  Grębałowianka - Wiślanie s. 16  Sokół - Pcimianka n. 15  Świt - Wieczysta <mask> 16  Gościbia - Zieleńczanka s. 16  Raba - Pogoń n. 16  Sokół - Grębałowianka n.,sobota,sobota,"tensor([[   259,    272,    260,    799,   6282, 103151,    262, 167945,  14145,
            259,    264,   5469, 140888,   1145,    259,    263,    260,    799,
          46735,  17311,    259,    264,    363, 201011,  14145,    259,    272,
            260,    670,  30546,    270,    259,    264,   8245,  60628,    262,
           1042,  55114,    669,    799,    489,   5727,  20651,    259,    264,
          25153,   7504,   2268,  14145,    259,    263,    260,    799,  22883,
            262,    259,    264, 142702,   9161,    259,    272,    260,    799,
          46735,  17311,    259,    264,   6282, 103151,    262, 167945,  14145,
            259,    272,    260,      1]])","tensor([[  259, 41784,   262,     1]])"
dr.n. med.,"Przeprowadziliśmy 53 operacje, w dwóch przypadkach były to przeszczepienia rodzinne - mówi <mask> Aleksandra Woderska, koordynator transplantacyjny w Szpitalu Uniwersyteckim nr 1",doktorka nauk medycznych,doktorka nauk medycznych,"tensor([[ 18885,  45951,  19927,   7682,   7248,  25046,    261,    414,    331,
          39574,    697,  10207,  16267,    455,   4430,    288,   3645, 214691,
           3631,  31682,    405,    259,    264,    259,  18365,   1042,  55114,
            669,  49299,    262, 166165,    295,   1855,    261, 142103, 106100,
           1761, 107644, 108286,    414,   9580,  40690,    273,    581,  75453,
            276,    346, 197900,   3574,    333,      1]])","tensor([[21498,   479, 64161,   499, 57473,     1]])"
